,loss,accuracy
0,2.6320512294769287,0.2822134494781494
1,1.3751784563064575,0.5715414881706238
2,1.0088008642196655,0.6766798496246338
3,0.7854675054550171,0.7407114505767822
4,0.6101797819137573,0.7960474491119385
5,0.6034942865371704,0.790513813495636
6,0.4217923581600189,0.8545454740524292
7,0.3746272027492523,0.8814229369163513
8,0.2925328016281128,0.9019762873649597
9,0.29476234316825867,0.9011857509613037
10,0.24846932291984558,0.9122529625892639
11,0.23120206594467163,0.9201580882072449
12,0.19246207177639008,0.9335968494415283
13,0.21186596155166626,0.9383399486541748
14,0.19082829356193542,0.9328063130378723
15,0.17689821124076843,0.9312252998352051
16,0.17458221316337585,0.9415019750595093
17,0.13580100238323212,0.9581027626991272
18,0.14304772019386292,0.955731213092804
19,0.12953722476959229,0.9509881138801575
